field_id,n_observations,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,anomaly_score,anomaly_status,forecast_mean_ET,forecast_trend,forecast_uncertainty,min_ET,max_ET,range_ET
93,100,73.82400000000001,44.711048120123515,60.56438031009361,-0.10551935193519338,-0.14293366917966158,stable,0.10943995648276515,low,0.11572083897696218,normal,55.160534,4.617501365554917,11.975098,11.8,179.6,167.79999999999998
94,100,73.97,43.974186746317436,59.44867749941521,-0.1272757275727579,-0.1720639821180991,stable,0.16176315555592732,low,0.19900879692181828,normal,55.42779,1.8459130934068388,17.75652,16.0,191.625,175.625
95,100,57.80142857142856,31.549914421437027,54.58327795903691,-0.041912476961981894,-0.07251114375172965,stable,0.12559754880185964,low,0.20991680213107444,normal,61.286884,2.8070671041528668,7.0936675,10.142857142857142,130.0,119.85714285714286
96,100,66.75,37.08952558557827,55.56483233794498,-0.08980712356949996,-0.13454250722022468,stable,0.13583181192529997,low,0.1624929307973986,normal,68.3486,5.1572018603344905,7.2520814,13.035714285714286,145.96428571428572,132.92857142857144
97,100,78.684,46.54710457160574,59.15701358803028,-0.10747794779477954,-0.13659441283460366,stable,0.10899228027649305,low,0.0984808838742742,normal,64.584526,4.670364559947194,14.234216,11.4,200.0,188.6
98,100,70.33800000000001,41.96679349199793,59.664467986007466,-0.12419921992199273,-0.1765748527424617,stable,0.1193039459950147,low,0.15698125712788077,normal,41.76963,1.6678284131563632,11.671142,11.8,177.2,165.39999999999998
99,100,72.98,45.12205225829162,61.82796966058045,-0.1675247524752478,-0.22954885239140557,stable,0.17378021490921014,low,0.22117788310849895,normal,49.201756,0.928843911711153,13.465117,14.0,200.0,186.0
100,100,77.07285714285713,46.32150509961737,60.10093152996638,-0.11817410312459853,-0.15332778296457708,stable,0.11911558649220705,low,0.1314878321120139,normal,65.75772,5.9083323445353475,15.294045,13.857142857142858,199.85714285714286,186.0
101,100,73.84,45.56258772282364,61.70447958128879,-0.1501530153015311,-0.20334915398365533,stable,0.16619167202678245,low,0.21871014132518732,normal,62.864147,6.027712435155482,15.01369,15.0,199.5,184.5
102,100,53.69940425531915,25.265304943117528,47.049506960991835,-0.006747151310876,-0.01256466697246025,stable,-0.044171868014479886,low,0.22404536501060895,normal,53.87001,0.7722392982536269,7.202643,14.676595744680851,107.18297872340426,92.50638297872341
103,100,58.958888888888886,32.50706155002762,55.13513256888013,-0.12430909757642411,-0.2108402989253938,stable,-0.05411803147078272,low,0.27559823809670897,normal,48.35796,-0.2425739848530344,6.479973,8.11111111111111,160.55555555555554,152.44444444444443
104,100,61.38999999999999,34.14419765250508,55.6185008185455,-0.048671867186718586,-0.07928305454751358,stable,-0.04205419985051481,low,0.08525118566140216,normal,49.20801,0.16838425856370326,11.900601,8.166666666666666,168.66666666666666,160.5
105,100,62.191111111111105,31.83895075509218,51.19533995494705,-0.024781144781145143,-0.03984676320844464,stable,-0.028130819369599075,low,0.27384347417587007,normal,52.813812,-0.14347966067440637,6.7596474,11.0,152.55555555555554,141.55555555555554
106,100,58.40083333333333,30.520122449059006,52.259737930210484,0.00862836283628344,0.014774383076069306,stable,-0.042876177222962275,low,0.068097149243168,normal,50.71896,-0.23728388006036777,7.119707,8.75,155.66666666666666,146.91666666666666
107,100,54.20099999999999,25.98805300517913,47.947552637735704,0.013146714671466749,0.02425548361001965,stable,-0.00759277290124311,low,0.10585633327174401,normal,49.91936,0.4480809231738136,6.3295655,10.5,132.2,121.69999999999999
108,100,59.71153846153846,29.511510892326896,49.423464296328454,0.04822774585150806,0.08076788355163991,stable,-0.056614484134045115,low,0.09904870454589063,normal,54.848667,0.12474891022368889,7.291025,11.76923076923077,157.92307692307693,146.15384615384616
109,100,58.11428571428571,28.489889004876872,49.02389946758558,0.006051176546225725,0.010412545679346137,stable,-0.05090299431305226,low,0.009151116231785402,normal,54.81944,0.12662581463793784,6.6389117,15.214285714285714,166.0,150.78571428571428
110,100,53.147777777777776,27.929700351568307,52.551021922964225,0.017609094242757608,0.03313232458445393,stable,-0.04470500675255591,low,0.09018674948825392,normal,54.209553,0.31948271664706185,5.5937905,16.444444444444443,170.88888888888889,154.44444444444446
