field_id,n_observations,years_covered,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,yearly_variability,yearly_cv_percent,min_ET,max_ET,range_ET
59,100,25,46.73,23.290601108601727,49.84078987503045,0.05119111911191111,0.10954658487462256,stable,-0.07048527938031694,low,8.99323912725554,19.24510833994338,7.0,117.0,110.0
60,100,25,62.57790000000001,37.19834886913666,59.44326810125724,0.002645484548454482,0.004227506113906798,stable,-0.0689691207864982,low,13.278260215103481,21.21876927014726,13.06,156.63,143.57
61,100,25,71.13228070175438,46.37597646451419,65.19680798505648,0.03579965014045229,0.05032827541486286,stable,-0.046679151689449534,low,17.41141037650894,24.477508951965195,12.964912280701755,193.53216374269005,180.5672514619883
62,100,25,46.39135593220339,24.068341972217006,51.881091829673245,-0.09289427247809576,-0.2002404771566755,stable,0.05567884477925745,low,10.962835869239857,23.63120380715108,13.101694915254237,151.8135593220339,138.71186440677968
63,100,25,70.10148571428572,45.52983522111671,64.94845973262784,-0.046245150229308966,-0.06596885894514622,stable,-0.06661097608048284,low,14.82854946037459,21.152974590027465,12.09142857142857,188.14857142857142,176.05714285714285
64,100,25,47.52823529411766,26.625811093341667,56.02103871219687,-0.10758087573463239,-0.2263515046769413,stable,0.07691308346897255,low,12.117782717052691,25.49596601275969,10.450980392156863,170.47058823529412,160.01960784313727
65,100,25,62.87765957446809,37.02021677071892,58.87658195495437,-0.06693656599702541,-0.10645524412013177,stable,-0.042727314813119865,low,12.890784329131804,20.501374282013188,13.925531914893616,174.40425531914894,160.47872340425533
66,100,25,44.75491525423728,21.688915539565137,48.461527446444414,-0.024939104079899743,-0.05572372093261549,stable,-0.03633530550396205,low,8.781949646082342,19.62231320558894,8.830508474576272,100.23728813559322,91.40677966101694
67,100,25,46.15903846153846,22.192302335521287,48.07791296175459,-0.06133709524798662,-0.13288209046879326,stable,-0.04272845430733406,low,8.83797865555107,19.146799738723384,11.288461538461538,103.42307692307692,92.13461538461539
68,100,25,58.691,30.482446079670183,51.93717278572555,0.018297629762976244,0.03117621059954038,stable,-0.041062804660419665,low,10.741257212263374,18.301370248016518,15.1,177.7,162.6
69,100,25,60.48148148148148,31.14319817981032,51.492121913954605,0.047445633452234064,0.0784465464305156,stable,-0.056360569523460476,low,10.060822916160632,16.63455105550135,9.777777777777779,165.25925925925927,155.4814814814815
70,100,25,62.04314285714287,33.984713609239684,54.775938232998634,-0.07790476190476255,-0.12556546673359498,stable,-0.061007062700993306,low,10.986868503363644,17.70843319246642,10.057142857142857,171.94285714285715,161.8857142857143
71,100,25,63.82333333333334,38.50349060655266,60.32823513848539,-0.07865519885321912,-0.12323893902943402,stable,-0.016356021085113224,low,15.993107851991498,25.058402651054735,14.555555555555555,177.66666666666666,163.11111111111111
72,100,25,56.349104477611945,28.56924210654203,50.700436806219116,-0.01676594525124124,-0.029753703109696297,stable,-0.01824857453154394,low,11.457849136680915,20.33368452418482,14.238805970149254,131.98507462686567,117.74626865671641
73,100,25,60.95125,33.86902112827443,55.56739382420284,-0.06658040804080427,-0.10923550877267368,stable,-0.014481836061010075,low,14.252924809490857,23.38413865095606,12.375,157.875,145.5
74,100,25,60.269333333333314,34.16343628793801,56.68460956584558,-0.07418561856185717,-0.12309015955354387,stable,-0.01840627782300022,low,13.811595653149967,22.91645666090544,14.383333333333333,156.59166666666667,142.20833333333334
75,100,25,68.3568181818182,39.565387022075384,57.88067390269364,-0.04766876687668848,-0.06973520439453046,stable,-0.10449483024859231,low,11.505560661539429,16.83162114265834,15.0,171.5909090909091,156.5909090909091
76,100,25,61.83483870967743,33.734055170581264,54.55509527398789,-0.05669134655401049,-0.09168188635565735,stable,-0.10133994105437816,low,10.4610008912246,16.91764886836748,12.258064516129032,152.80645161290323,140.5483870967742
77,100,25,47.678775510204076,23.346701800566994,48.966655604589505,-0.09529981569585563,-0.19987890770277822,stable,0.10737486646150357,low,11.049166226569948,23.174182030335988,11.10204081632653,114.71428571428571,103.61224489795917
78,100,25,62.6363063063063,34.013194579378805,54.30268255769468,-0.07420736668261478,-0.11847340793009611,stable,-0.10561357852659971,low,9.346011253651495,14.921076616407255,13.135135135135135,155.72072072072072,142.5855855855856
79,100,25,55.9404,27.656505343951174,49.43923415626484,-0.05489276927692823,-0.09812723769749275,stable,0.08668222339155669,low,12.944524859569007,23.139850375701656,12.8,143.16,130.35999999999999
80,100,25,59.01448275862068,31.923074966846197,54.0936283342803,-0.013584117032392923,-0.023018276865958958,stable,0.027562759420564898,low,13.71462864110352,23.239428696170556,11.379310344827585,154.44827586206895,143.06896551724137
81,100,25,63.90392857142856,31.99091376700514,50.06095005762803,-0.015177017701770604,-0.02374974127734026,stable,0.008070818860608318,low,13.006833290424611,20.353730327997337,12.071428571428571,156.42857142857142,144.35714285714283
